G:\class\pictures\Ok\frame_00_07_0001.png,Ok
G:\class\pictures\Ok\frame_00_07_0002.png,Ok
G:\class\pictures\Ok\frame_00_07_0003.png,Ok
G:\class\pictures\Ok\frame_00_07_0004.png,Ok
G:\class\pictures\Ok\frame_00_07_0005.png,Ok
G:\class\pictures\Ok\frame_00_07_0006.png,Ok
G:\class\pictures\Ok\frame_00_07_0007.png,Ok
G:\class\pictures\Ok\frame_00_07_0008.png,Ok
G:\class\pictures\Ok\frame_00_07_0009.png,Ok
G:\class\pictures\Ok\frame_00_07_0010.png,Ok
G:\class\pictures\Ok\frame_00_07_0011.png,Ok
G:\class\pictures\Ok\frame_00_07_0012.png,Ok
G:\class\pictures\Ok\frame_00_07_0013.png,Ok
G:\class\pictures\Ok\frame_00_07_0014.png,Ok
G:\class\pictures\Ok\frame_00_07_0015.png,Ok
G:\class\pictures\Ok\frame_00_07_0016.png,Ok
G:\class\pictures\Ok\frame_00_07_0017.png,Ok
G:\class\pictures\Ok\frame_00_07_0018.png,Ok
G:\class\pictures\Ok\frame_00_07_0019.png,Ok
G:\class\pictures\Ok\frame_00_07_0020.png,Ok
G:\class\pictures\Ok\frame_00_07_0021.png,Ok
G:\class\pictures\Ok\frame_00_07_0022.png,Ok
G:\class\pictures\Ok\frame_00_07_0023.png,Ok
G:\class\pictures\Ok\frame_00_07_0024.png,Ok
G:\class\pictures\Ok\frame_00_07_0025.png,Ok
G:\class\pictures\Ok\frame_00_07_0026.png,Ok
G:\class\pictures\Ok\frame_00_07_0027.png,Ok
G:\class\pictures\Ok\frame_00_07_0028.png,Ok
G:\class\pictures\Ok\frame_00_07_0029.png,Ok
G:\class\pictures\Ok\frame_00_07_0030.png,Ok
G:\class\pictures\Ok\frame_00_07_0031.png,Ok
G:\class\pictures\Ok\frame_00_07_0032.png,Ok
G:\class\pictures\Ok\frame_00_07_0033.png,Ok
G:\class\pictures\Ok\frame_00_07_0034.png,Ok
G:\class\pictures\Ok\frame_00_07_0035.png,Ok
G:\class\pictures\Ok\frame_00_07_0036.png,Ok
G:\class\pictures\Ok\frame_00_07_0037.png,Ok
G:\class\pictures\Ok\frame_00_07_0038.png,Ok
G:\class\pictures\Ok\frame_00_07_0039.png,Ok
G:\class\pictures\Ok\frame_00_07_0040.png,Ok
G:\class\pictures\Ok\frame_00_07_0041.png,Ok
G:\class\pictures\Ok\frame_00_07_0042.png,Ok
G:\class\pictures\Ok\frame_00_07_0043.png,Ok
G:\class\pictures\Ok\frame_00_07_0044.png,Ok
G:\class\pictures\Ok\frame_00_07_0045.png,Ok
